ERP_ID,PROJECT_CODE,REGION,SERVICE_LINE,PLANNED_DAYS,ACTUAL_DAYS,BUDGET_PEN,REVENUE_PEN,ACTUAL_COST_PEN,PROFIT_PEN,KLOC,DEFECTS,PM_CODE,SYS_NODE
ERP-00001,PROJ-3622,Piura,Project Mgmt,59,62,33571,64812,41997,22815,47,12,PM_PEREZ,SRV-NODE-4
ERP-00002,PROJ-6351,Arequipa,Project Mgmt,42,55,20706,33233,23159,10074,37,13,PM_SOTO,SRV-NODE-3
ERP-00003,PROJ-1973,Iquitos,Videoconference,46,57,21620,46985,24090,22895,20,27,PM_MEZA,SRV-NODE-3
ERP-00004,PROJ-8216,Cusco,Videoconference,125,161,31000,54509,39467,15042,40,25,PM_MEZA,SRV-NODE-9
ERP-00005,PROJ-4844,Piura,Business Proc,158,161,83898,172373,104112,68261,10,15,PM_SOTO,SRV-NODE-4
ERP-00006,PROJ-1628,Arequipa,Project Mgmt,152,197,65360,143041,77167,65874,37,53,PM_RIVAS,SRV-NODE-9
ERP-00007,PROJ-6790,Trujillo,Videoconference,39,43,18876,37917,24324,13593,43,24,PM_RIVAS,SRV-NODE-2
ERP-00008,PROJ-6164,Trujillo,Project Mgmt,157,179,68609,140426,76998,63428,25,40,PM_VEGA,SRV-NODE-9
ERP-00009,PROJ-6838,Cajamarca,Project Mgmt,151,156,67346,127741,83206,44535,42,19,PM_PEREZ,SRV-NODE-3
ERP-00010,PROJ-3301,Lima,Business Proc,140,178,83020,168619,109983,58636,26,29,PM_SOTO,SRV-NODE-7
ERP-00011,PROJ-5662,Iquitos,Audiovisual,161,179,93380,175335,108636,66699,50,45,PM_PEREZ,SRV-NODE-7
ERP-00012,PROJ-6932,Tacna,Audiovisual,147,175,32487,68273,44713,23560,19,15,PM_PEREZ,SRV-NODE-8
ERP-00013,PROJ-6037,Tacna,Business Proc,116,124,33060,57982,41119,16863,33,54,PM_PEREZ,SRV-NODE-2
ERP-00014,PROJ-8817,Tacna,Project Mgmt,61,75,20740,38648,22295,16353,36,22,PM_VEGA,SRV-NODE-6
ERP-00015,PROJ-4646,Cusco,Audiovisual,27,30,15363,33471,18198,15273,28,24,PM_MEZA,SRV-NODE-10
ERP-00016,PROJ-3708,Cajamarca,Audiovisual,111,113,28083,58769,28493,30276,17,11,PM_PEREZ,SRV-NODE-10
ERP-00017,PROJ-1535,Huancayo,Business Proc,42,52,19110,32660,19472,13188,28,47,PM_RIVAS,SRV-NODE-1
