PLANNED_DAYS,BUDGET_PEN,KLOC,ACTUAL_DAYS_PRED,ACTUAL_COST_PEN_PRED,DEFECTS_PRED,ACTUAL_DAYS_REAL,ACTUAL_COST_PEN_REAL,DEFECTS_REAL,RETRASO_REAL,SOBRECOSTO_REAL,DENSIDAD_DEFECTOS_REAL,RETRASO_PRED,SOBRECOSTO_PRED,DENSIDAD_DEFECTOS_PRED
59,33571,47,69.1835460439483,40174.748078988705,44.387973011854,62,41997,12,5.084745762711865,25.09904381758065,0.2553191489361702,17.26024753211576,19.670990077712027,0.9444249576990214
42,20706,37,,,,55,23159,13,30.952380952380953,11.846807688592678,0.35135135135135137,,,
46,21620,20,,,,57,24090,27,23.91304347826087,11.424606845513413,1.35,,,
125,31000,40,146.02160918809636,37155.1506484864,36.88079364760581,161,39467,25,28.799999999999997,27.31290322580645,0.625,16.817287350477088,19.855324672536774,0.9220198411901454
158,83898,10,,,,161,104112,15,1.89873417721519,24.093542158335122,1.5,,,
152,65360,37,,,,197,77167,53,29.605263157894733,18.064565483476134,1.4324324324324325,,,
39,18876,43,,,,43,24324,24,10.256410256410255,28.862047043865225,0.5581395348837209,,,
157,68609,25,,,,179,76998,40,14.012738853503185,12.227258814441253,1.6,,,
151,67346,42,176.32402101163729,81185.12883512644,39.43848718017979,156,83206,19,3.3112582781456954,23.550025242776112,0.4523809523809524,16.770874842143897,20.549295927191576,0.9390115995280903
140,83020,26,,,,178,109983,29,27.142857142857142,32.477716212960736,1.1153846153846154,,,
161,93380,50,189.1753563346644,112330.48065336856,45.57277202465539,179,108636,45,11.180124223602485,16.337545512957806,0.9,17.50022132587851,20.293939444601158,0.9114554404931079
147,32487,19,,,,175,44713,15,19.047619047619047,37.63351494443932,0.7894736842105263,,,
116,33060,33,134.4117625931457,39754.18347143835,29.57025333749473,124,41119,54,6.896551724137931,24.376890502117362,1.6363636363636365,15.872209132022164,20.24858884282623,0.8960682829543858
61,20740,36,,,,75,22295,22,22.950819672131146,7.497589199614271,0.6111111111111112,,,
27,15363,28,31.36538531835226,18592.155907909782,25.222172476076366,30,18198,24,11.11111111111111,18.45342706502636,0.8571428571428571,16.16809377167504,21.019045159863193,0.9007918741455845
111,28083,17,,,,113,28493,11,1.8018018018018018,1.459957981697112,0.6470588235294118,,,
42,19110,28,,,,52,19472,47,23.809523809523807,1.8942961800104658,1.6785714285714286,,,
91,42406,31,106.60765487706176,50742.28025353473,29.862447355221978,115,53289,20,26.373626373626376,25.66382115738339,0.6451612903225806,17.151269095672266,19.658256505057608,0.9633047533942574
23,7406,32,,,,29,10111,19,26.08695652173913,36.52443964353227,0.59375,,,
122,67832,30,143.26975485581718,81532.96555017025,28.065749287744058,149,90334,19,22.131147540983605,33.17313362424814,0.6333333333333333,17.43422529165343,20.198380631811315,0.9355249762581352
